,Unnamed: 0,id,adult,release_date,genre_ids,original_title,original_language,title,popularity,vote_count,vote_average,media_type,budget,duration,revenues,spoken_languagess,genre_list,is_terror_comedia,val_count,quantile,Música,Romance,Familia,Bélica,Película de TV,Aventura,Fantasía,Animación,Drama,Terror,Acción,Comedia,Historia,Western,Suspense,Crimen,Ciencia ficción,Misterio,Documental,reciente
12,12,829410,False,2022-09-24,27-53,Sick,en,Sick,358.328,126,6.3,movie,0,83,0,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['27', '53']",1,1068,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
13,13,676547,False,2022-10-28,27-53,Prey for the Devil,en,Reza por el diablo,357.88,612,7.1,movie,0,93,37655699,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['27', '53']",1,1068,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
14,14,934433,False,2023-03-10,27-9648-53,Scream VI,en,Scream VI,378.88,536,7.4,movie,35000000,123,161000000,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['27', '9648', '53']",1,254,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
15,15,663712,False,2022-10-06,27,Terrifier 2,en,Terrifier 2,297.682,1143,6.9,movie,250000,138,12400000,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",['27'],0,2571,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
16,16,772515,False,2023-02-10,18-27-9648,Huesera,es,Huesera,284.067,187,5.8,movie,0,93,0,"{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}","['18', '27', '9648']",0,36,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
17,17,988233,False,2022-11-01,28-27-53,Hex,en,Hex,265.046,62,6.1,movie,0,88,0,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['28', '27', '53']",1,62,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1
18,18,646385,False,2022-01-14,27-9648-53,Scream,en,Scream V,262.835,2317,6.7,movie,24000000,114,140041405,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['27', '9648', '53']",1,254,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
19,19,836225,False,2022-03-11,27,The Exorcism of God,en,El Exorcismo De Dios,221.416,811,7.2,movie,1500000,98,0,"{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}",['27'],0,2571,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
20,20,882598,False,2022-09-30,27-9648-53,Smile,en,Smile,230.019,1886,6.8,movie,17000000,115,216135048,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['27', '9648', '53']",1,254,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
21,21,782936,False,2022-11-04,9648-53-27,Nocebo,en,Efecto nocebo,201.589,66,6.3,movie,0,96,0,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['9648', '53', '27']",1,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
22,22,575322,False,2022-03-15,878-27,Звёздный разум,en,Géminis: El planeta oscuro,204.74,314,5.8,movie,0,98,0,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['878', '27']",0,110,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
23,23,760741,False,2022-08-19,53-28-27-12,Beast,en,La bestia,199.258,1070,6.8,movie,0,93,56000000,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['53', '28', '27', '12']",1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1
24,24,931954,False,2022-09-23,18-27-53,Venus,es,Venus,194.673,79,5.5,movie,0,101,0,"{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}","['18', '27', '53']",1,153,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
25,25,717728,False,2022-09-19,27-53-9648,Jeepers Creepers: Reborn,en,Jeepers Creepers: El renacer,186.944,733,5.8,movie,5000000,88,5954938,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['27', '53', '9648']",1,112,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
26,26,955991,False,2022-09-23,27,The Offering,en,The Offering,183.582,112,5.7,movie,0,93,0,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",['27'],0,2571,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
27,27,109428,False,2013-04-05,27,Evil Dead,en,Posesión infernal (Evil Dead),207.54,3973,6.5,movie,17000000,96,97542952,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",['27'],0,2571,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10
28,28,826753,False,2023-01-06,27-53,Candy Land,en,Candy Land,164.886,56,6.5,movie,0,93,0,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['27', '53']",1,1068,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
29,29,960258,False,2022-05-13,27-53-28-12,Shark Bait,en,Mar de sangre,161.453,224,5.9,movie,0,87,0,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['27', '53', '28', '12']",1,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1
30,30,943221,False,2022-09-24,27,Mal de ojo,es,Mal de ojo,154.289,191,6.8,movie,1704500,100,0,"{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}",['27'],0,2571,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
31,31,760204,False,2022-10-28,27-28,The Lair,en,La guarida,170.699,98,5.8,movie,0,93,0,"{'english_name': 'French', 'iso_639_1': 'fr', 'name': 'Français'}","['27', '28']",0,55,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
32,32,1013870,False,2023-01-20,878-27-12-28,Kids vs. Aliens,en,Kids vs. Aliens,169.148,47,6.1,movie,0,75,0,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['878', '27', '12', '28']",0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0
33,33,848058,False,2022-10-07,53-18-27,Cerdita,es,Cerdita,148.357,317,6.6,movie,2400000,100,380512,"{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}","['53', '18', '27']",1,33,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
34,34,880841,False,2022-06-17,27-9648-53,Abandoned,en,Abandoned,149.844,213,6.3,movie,0,102,0,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['27', '9648', '53']",1,254,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
35,35,996727,False,2023-01-13,28-53-9648-80-27,The Price We Pay,en,El precio de la venganza,157.013,105,5.9,movie,0,85,0,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['28', '53', '9648', '80', '27']",1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0
36,36,1073413,False,2023-04-14,35-27-53,Fenómenas,es,Fenómenas,181.968,23,5.9,movie,0,96,0,"{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}","['35', '27', '53']",1,36,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
37,37,888257,False,2022-02-04,37-27-9648,Ghosts of the Ozarks,en,El Misterio de Ozark,114.286,16,6.3,movie,0,100,0,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['37', '27', '9648']",0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
38,38,760161,False,2022-08-19,27-53,Orphan: First Kill,en,La huérfana: Primer asesinato,137.709,1666,6.8,movie,0,99,9572765,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['27', '53']",1,1068,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
39,39,788752,False,2023-02-03,27-53-9648,Vikingulven,no,Lobo vikingo,140.59,203,5.9,movie,0,97,0,"{'english_name': 'Norwegian', 'iso_639_1': 'no', 'name': 'Norsk'}","['27', '53', '9648']",1,112,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
40,40,1032950,False,2022-10-26,27,Ostatnia Wieczerza,pl,El abismo del infierno,126.946,212,6.1,movie,0,90,0,"{'english_name': 'Latin', 'iso_639_1': 'la', 'name': 'Latin'}",['27'],0,2571,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
41,41,756999,False,2022-06-24,27-53,The Black Phone,en,Black Phone,130.698,3771,7.8,movie,17000000,103,161440742,"{'english_name': 'German', 'iso_639_1': 'de', 'name': 'Deutsch'}","['27', '53']",1,1068,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
42,42,675054,False,2022-10-26,27-28-35,MexZombies,es,MexZombies,136.656,136,7.1,movie,0,93,0,"{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}","['27', '28', '35']",0,17,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
43,43,423108,False,2021-06-04,27-9648-53,The Conjuring: The Devil Made Me Do It,en,Expediente Warren: Obligado por el demonio,127.444,5043,7.5,movie,39000000,111,206431050,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['27', '9648', '53']",1,254,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,2
44,44,746524,False,2023-01-27,53-27,Blood,en,Blood,109.839,48,5.8,movie,0,108,0,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['53', '27']",1,307,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
45,45,649609,False,2023-04-14,35-27-14,Renfield,en,Renfield,140.514,43,6.8,movie,86200000,93,10000000,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['35', '27', '14']",0,11,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
46,46,520763,False,2021-05-28,878-53-27,A Quiet Place Part II,en,Un lugar tranquilo 2,114.644,5287,7.5,movie,61000000,97,297400000,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['878', '53', '27']",1,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2
47,47,799379,False,2022-10-07,28-53-12-27,늑대사냥,ko,Project Wolf Hunting,142.045,112,6.5,movie,0,122,0,"{'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}","['28', '53', '12', '27']",1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1
48,48,801071,False,2022-01-18,27,The Jack in the Box: Awakening,en,The Jack in the Box: El despertar,119.157,270,6.4,movie,0,89,195189,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}",['27'],0,2571,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
49,49,760104,False,2022-03-18,27-9648-53,X,en,X,103.808,1871,6.8,movie,10000000,106,14779858,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['27', '9648', '53']",1,254,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
50,50,138843,False,2013-07-19,27-53,The Conjuring,en,Expediente Warren: The Conjuring,114.268,10304,7.5,movie,13000000,112,320406242,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['27', '53']",1,1068,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,10
51,51,830788,False,2022-08-26,27-53,The Invitation,en,La invitación,111.038,513,6.4,movie,10000000,105,33628000,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['27', '53']",1,1068,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
52,52,593643,False,2022-11-18,27-53-35,The Menu,en,El menú,106.354,2954,7.2,movie,35000000,107,79628200,"{'english_name': 'Spanish', 'iso_639_1': 'es', 'name': 'Español'}","['27', '53', '35']",1,26,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
53,53,338947,False,2022-09-28,27-9648,Hellraiser,en,Hellraiser,112.792,488,6.4,movie,14000000,121,0,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['27', '9648']",0,162,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
54,54,899579,False,2023-01-17,27-9648-53,There's Something Wrong with the Children,en,Hay algo mal con los niños,98.923,95,6.0,movie,0,92,0,"{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}","['27', '9648', '53']",1,254,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
